"year","Label (Grouping)","state","series","measure","value"
"df_pop_2017","Total civilian noninstitutionalized population","Maine","Total.Uninsured","Estimate",107067
"df_pop_2017","Total civilian noninstitutionalized population","Maine","Uninsured.Share",NA,0.0810101623048177
"df_pop_2017","Total civilian noninstitutionalized population","Maryland","Total","Estimate",5957871
"df_pop_2017","Total civilian noninstitutionalized population","Maryland","Total.Uninsured","Estimate",365597
"df_pop_2017","Total civilian noninstitutionalized population","Maryland","Uninsured.Share",NA,0.0613636985426506
"df_pop_2017","Total civilian noninstitutionalized population","Massachusetts","Total","Estimate",6785622
"df_pop_2017","Total civilian noninstitutionalized population","Massachusetts","Total.Uninsured","Estimate",189801
"df_pop_2017","Total civilian noninstitutionalized population","Massachusetts","Uninsured.Share",NA,0.0279710540905462
"df_pop_2017","Total civilian noninstitutionalized population","Michigan","Total","Estimate",9853156
"df_pop_2017","Total civilian noninstitutionalized population","Michigan","Total.Uninsured","Estimate",509539
"df_pop_2017","Total civilian noninstitutionalized population","Michigan","Uninsured.Share",NA,0.0517132784663107
"df_pop_2017","Total civilian noninstitutionalized population","Minnesota","Total","Estimate",5519199
"df_pop_2017","Total civilian noninstitutionalized population","Minnesota","Total.Uninsured","Estimate",242509
"df_pop_2017","Total civilian noninstitutionalized population","Minnesota","Uninsured.Share",NA,0.0439391658101112
"df_pop_2017","Total civilian noninstitutionalized population","Mississippi","Total","Estimate",2920808
"df_pop_2017","Total civilian noninstitutionalized population","Mississippi","Total.Uninsured","Estimate",351754
"df_pop_2017","Total civilian noninstitutionalized population","Mississippi","Uninsured.Share",NA,0.120430374060876
"df_pop_2017","Total civilian noninstitutionalized population","Missouri","Total","Estimate",6000326
"df_pop_2017","Total civilian noninstitutionalized population","Missouri","Total.Uninsured","Estimate",548271
"df_pop_2017","Total civilian noninstitutionalized population","Missouri","Uninsured.Share",NA,0.0913735353712448
"df_pop_2017","Total civilian noninstitutionalized population","Montana","Total","Estimate",1036245
"df_pop_2017","Total civilian noninstitutionalized population","Montana","Total.Uninsured","Estimate",87709
"df_pop_2017","Total civilian noninstitutionalized population","Montana","Uninsured.Share",NA,0.0846411804158283
"df_pop_2017","Total civilian noninstitutionalized population","Nebraska","Total","Estimate",1891453
"df_pop_2017","Total civilian noninstitutionalized population","Nebraska","Total.Uninsured","Estimate",156784
"df_pop_2017","Total civilian noninstitutionalized population","Nebraska","Uninsured.Share",NA,0.08289077233217
"df_pop_2017","Total civilian noninstitutionalized population","Nevada","Total","Estimate",2962236
"df_pop_2017","Total civilian noninstitutionalized population","Nevada","Total.Uninsured","Estimate",332624
"df_pop_2017","Total civilian noninstitutionalized population","Nevada","Uninsured.Share",NA,0.112288149897577
"df_pop_2017","Total civilian noninstitutionalized population","New.Hampshire","Total","Estimate",1325016
"df_pop_2017","Total civilian noninstitutionalized population","New.Hampshire","Total.Uninsured","Estimate",77059
"df_pop_2017","Total civilian noninstitutionalized population","New.Hampshire","Uninsured.Share",NA,0.0581570335754436
"df_pop_2017","Total civilian noninstitutionalized population","New.Jersey","Total","Estimate",8902432
"df_pop_2017","Total civilian noninstitutionalized population","New.Jersey","Total.Uninsured","Estimate",688068
"df_pop_2017","Total civilian noninstitutionalized population","New.Jersey","Uninsured.Share",NA,0.0772898911218867
"df_pop_2017","Total civilian noninstitutionalized population","New.Mexico","Total","Estimate",2054301
"df_pop_2017","Total civilian noninstitutionalized population","New.Mexico","Total.Uninsured","Estimate",186996
"df_pop_2017","Total civilian noninstitutionalized population","New.Mexico","Uninsured.Share",NA,0.0910265827646484
"df_pop_2017","Total civilian noninstitutionalized population","New.York","Total","Estimate",19608066
"df_pop_2017","Total civilian noninstitutionalized population","New.York","Total.Uninsured","Estimate",1112942
"df_pop_2017","Total civilian noninstitutionalized population","New.York","Uninsured.Share",NA,0.0567593968726951
"df_pop_2017","Total civilian noninstitutionalized population","North.Carolina","Total","Estimate",10070781
"df_pop_2017","Total civilian noninstitutionalized population","North.Carolina","Total.Uninsured","Estimate",1075983
"df_pop_2017","Total civilian noninstitutionalized population","North.Carolina","Uninsured.Share",NA,0.106842061206574
"df_pop_2017","Total civilian noninstitutionalized population","Ohio","Total","Estimate",11485078
"df_pop_2017","Total civilian noninstitutionalized population","Ohio","Total.Uninsured","Estimate",686014
"df_pop_2017","Total civilian noninstitutionalized population","Ohio","Uninsured.Share",NA,0.0597308960374496
"df_pop_2017","Total civilian noninstitutionalized population","Oklahoma","Total","Estimate",3851302
"df_pop_2017","Total civilian noninstitutionalized population","Oklahoma","Total.Uninsured","Estimate",545483
"df_pop_2017","Total civilian noninstitutionalized population","Oklahoma","Uninsured.Share",NA,0.141635997384781
"df_pop_2017","Total civilian noninstitutionalized population","Oregon","Total","Estimate",4102901
"df_pop_2017","Total civilian noninstitutionalized population","Oregon","Total.Uninsured","Estimate",280816
"df_pop_2017","Total civilian noninstitutionalized population","Oregon","Uninsured.Share",NA,0.0684432795234396
"df_pop_2017","Total civilian noninstitutionalized population","Pennsylvania","Total","Estimate",12602472
"df_pop_2017","Total civilian noninstitutionalized population","Pennsylvania","Total.Uninsured","Estimate",692203
"df_pop_2017","Total civilian noninstitutionalized population","Pennsylvania","Uninsured.Share",NA,0.0549259700795209
"df_pop_2017","Total civilian noninstitutionalized population","South.Carolina","Total","Estimate",4928260
"df_pop_2017","Total civilian noninstitutionalized population","South.Carolina","Total.Uninsured","Estimate",541533
"df_pop_2017","Total civilian noninstitutionalized population","South.Carolina","Uninsured.Share",NA,0.109883204214063
"df_pop_2017","Total civilian noninstitutionalized population","South.Dakota","Total","Estimate",851826
"df_pop_2017","Total civilian noninstitutionalized population","South.Dakota","Total.Uninsured","Estimate",77338
"df_pop_2017","Total civilian noninstitutionalized population","South.Dakota","Uninsured.Share",NA,0.090790842261213
"df_pop_2017","Total civilian noninstitutionalized population","Tennessee","Total","Estimate",6612552
"df_pop_2017","Total civilian noninstitutionalized population","Tennessee","Total.Uninsured","Estimate",629142
"df_pop_2017","Total civilian noninstitutionalized population","Tennessee","Uninsured.Share",NA,0.0951435996268914
"df_pop_2017","Total civilian noninstitutionalized population","Texas","Total","Estimate",27836924
"df_pop_2017","Total civilian noninstitutionalized population","Texas","Total.Uninsured","Estimate",4816968
"df_pop_2017","Total civilian noninstitutionalized population","Texas","Uninsured.Share",NA,0.17304239505773
"df_pop_2017","Total civilian noninstitutionalized population","Utah","Total","Estimate",3076318
"df_pop_2017","Total civilian noninstitutionalized population","Utah","Total.Uninsured","Estimate",281753
"df_pop_2017","Total civilian noninstitutionalized population","Utah","Uninsured.Share",NA,0.091587735728231
"df_pop_2017","Total civilian noninstitutionalized population","Virginia","Total","Estimate",8256810
"df_pop_2017","Total civilian noninstitutionalized population","Virginia","Total.Uninsured","Estimate",729179
"df_pop_2017","Total civilian noninstitutionalized population","Virginia","Uninsured.Share",NA,0.0883124354320858
"df_pop_2017","Total civilian noninstitutionalized population","Washington","Total","Estimate",7299812
"df_pop_2017","Total civilian noninstitutionalized population","Washington","Total.Uninsured","Estimate",446106
"df_pop_2017","Total civilian noninstitutionalized population","Washington","Uninsured.Share",NA,0.0611119848018004
"df_pop_2017","Total civilian noninstitutionalized population","West.Virginia","Total","Estimate",1787126
"df_pop_2017","Total civilian noninstitutionalized population","West.Virginia","Total.Uninsured","Estimate",108889
"df_pop_2017","Total civilian noninstitutionalized population","West.Virginia","Uninsured.Share",NA,0.0609296714389472
"df_pop_2017","Total civilian noninstitutionalized population","Wisconsin","Total","Estimate",5723963
"df_pop_2017","Total civilian noninstitutionalized population","Wisconsin","Total.Uninsured","Estimate",309404
"df_pop_2017","Total civilian noninstitutionalized population","Wisconsin","Uninsured.Share",NA,0.0540541579321879
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Alabama","Total","Estimate",NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Alabama","Total.Uninsured","Estimate",NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Alabama","Uninsured.Share",NA,NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Alaska","Total","Estimate",NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Alaska","Total.Uninsured","Estimate",NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Alaska","Uninsured.Share",NA,NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Arizona","Total","Estimate",NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Arizona","Total.Uninsured","Estimate",NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Arizona","Uninsured.Share",NA,NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Arkansas","Total","Estimate",NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Arkansas","Total.Uninsured","Estimate",NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Arkansas","Uninsured.Share",NA,NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","California","Total","Estimate",NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","California","Total.Uninsured","Estimate",NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","California","Uninsured.Share",NA,NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Colorado","Total","Estimate",NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Colorado","Total.Uninsured","Estimate",NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Colorado","Uninsured.Share",NA,NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Connecticut","Total","Estimate",NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Connecticut","Total.Uninsured","Estimate",NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Connecticut","Uninsured.Share",NA,NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Florida","Total","Estimate",NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Florida","Total.Uninsured","Estimate",NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Florida","Uninsured.Share",NA,NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Georgia","Total","Estimate",NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Georgia","Total.Uninsured","Estimate",NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Georgia","Uninsured.Share",NA,NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Idaho","Total","Estimate",NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Idaho","Total.Uninsured","Estimate",NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Idaho","Uninsured.Share",NA,NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Illinois","Total","Estimate",NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Illinois","Total.Uninsured","Estimate",NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Illinois","Uninsured.Share",NA,NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Indiana","Total","Estimate",NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Indiana","Total.Uninsured","Estimate",NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Indiana","Uninsured.Share",NA,NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Iowa","Total","Estimate",NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Iowa","Total.Uninsured","Estimate",NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Iowa","Uninsured.Share",NA,NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Kansas","Total","Estimate",NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Kansas","Total.Uninsured","Estimate",NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Kansas","Uninsured.Share",NA,NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Kentucky","Total","Estimate",NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Kentucky","Total.Uninsured","Estimate",NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Kentucky","Uninsured.Share",NA,NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Louisiana","Total","Estimate",NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Louisiana","Total.Uninsured","Estimate",NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Louisiana","Uninsured.Share",NA,NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Maine","Total","Estimate",NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Maine","Total.Uninsured","Estimate",NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Maine","Uninsured.Share",NA,NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Maryland","Total","Estimate",NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Maryland","Total.Uninsured","Estimate",NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Maryland","Uninsured.Share",NA,NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Massachusetts","Total","Estimate",NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Massachusetts","Total.Uninsured","Estimate",NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Massachusetts","Uninsured.Share",NA,NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Michigan","Total","Estimate",NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Michigan","Total.Uninsured","Estimate",NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Michigan","Uninsured.Share",NA,NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Minnesota","Total","Estimate",NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Minnesota","Total.Uninsured","Estimate",NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Minnesota","Uninsured.Share",NA,NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Mississippi","Total","Estimate",NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Mississippi","Total.Uninsured","Estimate",NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Mississippi","Uninsured.Share",NA,NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Missouri","Total","Estimate",NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Missouri","Total.Uninsured","Estimate",NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Missouri","Uninsured.Share",NA,NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Montana","Total","Estimate",NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Montana","Total.Uninsured","Estimate",NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Montana","Uninsured.Share",NA,NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Nebraska","Total","Estimate",NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Nebraska","Total.Uninsured","Estimate",NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Nebraska","Uninsured.Share",NA,NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Nevada","Total","Estimate",NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Nevada","Total.Uninsured","Estimate",NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Nevada","Uninsured.Share",NA,NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","New.Hampshire","Total","Estimate",NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","New.Hampshire","Total.Uninsured","Estimate",NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","New.Hampshire","Uninsured.Share",NA,NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","New.Jersey","Total","Estimate",NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","New.Jersey","Total.Uninsured","Estimate",NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","New.Jersey","Uninsured.Share",NA,NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","New.Mexico","Total","Estimate",NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","New.Mexico","Total.Uninsured","Estimate",NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","New.Mexico","Uninsured.Share",NA,NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","New.York","Total","Estimate",NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","New.York","Total.Uninsured","Estimate",NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","New.York","Uninsured.Share",NA,NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","North.Carolina","Total","Estimate",NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","North.Carolina","Total.Uninsured","Estimate",NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","North.Carolina","Uninsured.Share",NA,NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Ohio","Total","Estimate",NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Ohio","Total.Uninsured","Estimate",NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Ohio","Uninsured.Share",NA,NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Oklahoma","Total","Estimate",NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Oklahoma","Total.Uninsured","Estimate",NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Oklahoma","Uninsured.Share",NA,NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Oregon","Total","Estimate",NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Oregon","Total.Uninsured","Estimate",NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Oregon","Uninsured.Share",NA,NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Pennsylvania","Total","Estimate",NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Pennsylvania","Total.Uninsured","Estimate",NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Pennsylvania","Uninsured.Share",NA,NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","South.Carolina","Total","Estimate",NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","South.Carolina","Total.Uninsured","Estimate",NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","South.Carolina","Uninsured.Share",NA,NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","South.Dakota","Total","Estimate",NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","South.Dakota","Total.Uninsured","Estimate",NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","South.Dakota","Uninsured.Share",NA,NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Tennessee","Total","Estimate",NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Tennessee","Total.Uninsured","Estimate",NA
"df_pop_2017","HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Tennessee","Uninsured.Share",NA,NA
