"","year","Label (Grouping)","state","series","measure","value"
"79",2017,"Total civilian noninstitutionalized population","New.Hampshire","Total","Estimate",1325016
"80",2017,"Total civilian noninstitutionalized population","New.Hampshire","Total.Uninsured","Estimate",77059
"81",2017,"Total civilian noninstitutionalized population","New.Hampshire","Uninsured.Share",NA,5.81570335754436
"82",2017,"Total civilian noninstitutionalized population","New.Jersey","Total","Estimate",8902432
"83",2017,"Total civilian noninstitutionalized population","New.Jersey","Total.Uninsured","Estimate",688068
"84",2017,"Total civilian noninstitutionalized population","New.Jersey","Uninsured.Share",NA,7.72898911218867
"85",2017,"Total civilian noninstitutionalized population","New.Mexico","Total","Estimate",2054301
"86",2017,"Total civilian noninstitutionalized population","New.Mexico","Total.Uninsured","Estimate",186996
"87",2017,"Total civilian noninstitutionalized population","New.Mexico","Uninsured.Share",NA,9.10265827646484
"88",2017,"Total civilian noninstitutionalized population","New.York","Total","Estimate",19608066
"89",2017,"Total civilian noninstitutionalized population","New.York","Total.Uninsured","Estimate",1112942
"90",2017,"Total civilian noninstitutionalized population","New.York","Uninsured.Share",NA,5.67593968726951
"91",2017,"Total civilian noninstitutionalized population","North.Carolina","Total","Estimate",10070781
"92",2017,"Total civilian noninstitutionalized population","North.Carolina","Total.Uninsured","Estimate",1075983
"93",2017,"Total civilian noninstitutionalized population","North.Carolina","Uninsured.Share",NA,10.6842061206574
"94",2017,"Total civilian noninstitutionalized population","Ohio","Total","Estimate",11485078
"95",2017,"Total civilian noninstitutionalized population","Ohio","Total.Uninsured","Estimate",686014
"96",2017,"Total civilian noninstitutionalized population","Ohio","Uninsured.Share",NA,5.97308960374496
"97",2017,"Total civilian noninstitutionalized population","Oklahoma","Total","Estimate",3851302
"98",2017,"Total civilian noninstitutionalized population","Oklahoma","Total.Uninsured","Estimate",545483
"99",2017,"Total civilian noninstitutionalized population","Oklahoma","Uninsured.Share",NA,14.1635997384781
"100",2017,"Total civilian noninstitutionalized population","Oregon","Total","Estimate",4102901
"101",2017,"Total civilian noninstitutionalized population","Oregon","Total.Uninsured","Estimate",280816
"102",2017,"Total civilian noninstitutionalized population","Oregon","Uninsured.Share",NA,6.84432795234396
"103",2017,"Total civilian noninstitutionalized population","Pennsylvania","Total","Estimate",12602472
"104",2017,"Total civilian noninstitutionalized population","Pennsylvania","Total.Uninsured","Estimate",692203
"105",2017,"Total civilian noninstitutionalized population","Pennsylvania","Uninsured.Share",NA,5.49259700795209
"106",2017,"Total civilian noninstitutionalized population","South.Carolina","Total","Estimate",4928260
"107",2017,"Total civilian noninstitutionalized population","South.Carolina","Total.Uninsured","Estimate",541533
"108",2017,"Total civilian noninstitutionalized population","South.Carolina","Uninsured.Share",NA,10.9883204214063
"109",2017,"Total civilian noninstitutionalized population","South.Dakota","Total","Estimate",851826
"110",2017,"Total civilian noninstitutionalized population","South.Dakota","Total.Uninsured","Estimate",77338
"111",2017,"Total civilian noninstitutionalized population","South.Dakota","Uninsured.Share",NA,9.0790842261213
"112",2017,"Total civilian noninstitutionalized population","Tennessee","Total","Estimate",6612552
"113",2017,"Total civilian noninstitutionalized population","Tennessee","Total.Uninsured","Estimate",629142
"114",2017,"Total civilian noninstitutionalized population","Tennessee","Uninsured.Share",NA,9.51435996268914
"115",2017,"Total civilian noninstitutionalized population","Texas","Total","Estimate",27836924
"116",2017,"Total civilian noninstitutionalized population","Texas","Total.Uninsured","Estimate",4816968
"117",2017,"Total civilian noninstitutionalized population","Texas","Uninsured.Share",NA,17.304239505773
"118",2017,"Total civilian noninstitutionalized population","Utah","Total","Estimate",3076318
"119",2017,"Total civilian noninstitutionalized population","Utah","Total.Uninsured","Estimate",281753
"120",2017,"Total civilian noninstitutionalized population","Utah","Uninsured.Share",NA,9.1587735728231
"121",2017,"Total civilian noninstitutionalized population","Virginia","Total","Estimate",8256810
"122",2017,"Total civilian noninstitutionalized population","Virginia","Total.Uninsured","Estimate",729179
"123",2017,"Total civilian noninstitutionalized population","Virginia","Uninsured.Share",NA,8.83124354320858
"124",2017,"Total civilian noninstitutionalized population","Washington","Total","Estimate",7299812
"125",2017,"Total civilian noninstitutionalized population","Washington","Total.Uninsured","Estimate",446106
"126",2017,"Total civilian noninstitutionalized population","Washington","Uninsured.Share",NA,6.11119848018004
"127",2017,"Total civilian noninstitutionalized population","West.Virginia","Total","Estimate",1787126
"128",2017,"Total civilian noninstitutionalized population","West.Virginia","Total.Uninsured","Estimate",108889
"129",2017,"Total civilian noninstitutionalized population","West.Virginia","Uninsured.Share",NA,6.09296714389472
"130",2017,"Total civilian noninstitutionalized population","Wisconsin","Total","Estimate",5723963
"131",2017,"Total civilian noninstitutionalized population","Wisconsin","Total.Uninsured","Estimate",309404
"132",2017,"Total civilian noninstitutionalized population","Wisconsin","Uninsured.Share",NA,5.40541579321879
"133",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Alabama","Total","Estimate",NA
"134",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Alabama","Total.Uninsured","Estimate",NA
"135",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Alabama","Uninsured.Share",NA,NA
"136",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Alaska","Total","Estimate",NA
"137",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Alaska","Total.Uninsured","Estimate",NA
"138",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Alaska","Uninsured.Share",NA,NA
"139",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Arizona","Total","Estimate",NA
"140",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Arizona","Total.Uninsured","Estimate",NA
"141",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Arizona","Uninsured.Share",NA,NA
"142",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Arkansas","Total","Estimate",NA
"143",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Arkansas","Total.Uninsured","Estimate",NA
"144",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Arkansas","Uninsured.Share",NA,NA
"145",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","California","Total","Estimate",NA
"146",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","California","Total.Uninsured","Estimate",NA
"147",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","California","Uninsured.Share",NA,NA
"148",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Colorado","Total","Estimate",NA
"149",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Colorado","Total.Uninsured","Estimate",NA
"150",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Colorado","Uninsured.Share",NA,NA
"151",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Connecticut","Total","Estimate",NA
"152",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Connecticut","Total.Uninsured","Estimate",NA
"153",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Connecticut","Uninsured.Share",NA,NA
"154",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Florida","Total","Estimate",NA
"155",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Florida","Total.Uninsured","Estimate",NA
"156",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Florida","Uninsured.Share",NA,NA
"157",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Georgia","Total","Estimate",NA
"158",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Georgia","Total.Uninsured","Estimate",NA
"159",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Georgia","Uninsured.Share",NA,NA
"160",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Idaho","Total","Estimate",NA
"161",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Idaho","Total.Uninsured","Estimate",NA
"162",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Idaho","Uninsured.Share",NA,NA
"163",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Illinois","Total","Estimate",NA
"164",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Illinois","Total.Uninsured","Estimate",NA
"165",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Illinois","Uninsured.Share",NA,NA
"166",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Indiana","Total","Estimate",NA
"167",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Indiana","Total.Uninsured","Estimate",NA
"168",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Indiana","Uninsured.Share",NA,NA
"169",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Iowa","Total","Estimate",NA
"170",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Iowa","Total.Uninsured","Estimate",NA
"171",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Iowa","Uninsured.Share",NA,NA
"172",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Kansas","Total","Estimate",NA
"173",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Kansas","Total.Uninsured","Estimate",NA
"174",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Kansas","Uninsured.Share",NA,NA
"175",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Kentucky","Total","Estimate",NA
"176",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Kentucky","Total.Uninsured","Estimate",NA
"177",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Kentucky","Uninsured.Share",NA,NA
"178",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Louisiana","Total","Estimate",NA
"179",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Louisiana","Total.Uninsured","Estimate",NA
"180",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Louisiana","Uninsured.Share",NA,NA
"181",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Maine","Total","Estimate",NA
"182",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Maine","Total.Uninsured","Estimate",NA
"183",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Maine","Uninsured.Share",NA,NA
"184",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Maryland","Total","Estimate",NA
"185",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Maryland","Total.Uninsured","Estimate",NA
"186",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Maryland","Uninsured.Share",NA,NA
"187",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Massachusetts","Total","Estimate",NA
"188",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Massachusetts","Total.Uninsured","Estimate",NA
"189",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Massachusetts","Uninsured.Share",NA,NA
"190",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Michigan","Total","Estimate",NA
"191",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Michigan","Total.Uninsured","Estimate",NA
"192",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Michigan","Uninsured.Share",NA,NA
"193",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Minnesota","Total","Estimate",NA
"194",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Minnesota","Total.Uninsured","Estimate",NA
"195",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Minnesota","Uninsured.Share",NA,NA
"196",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Mississippi","Total","Estimate",NA
"197",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Mississippi","Total.Uninsured","Estimate",NA
"198",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Mississippi","Uninsured.Share",NA,NA
"199",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Missouri","Total","Estimate",NA
"200",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Missouri","Total.Uninsured","Estimate",NA
"201",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Missouri","Uninsured.Share",NA,NA
"202",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Montana","Total","Estimate",NA
"203",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Montana","Total.Uninsured","Estimate",NA
"204",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Montana","Uninsured.Share",NA,NA
"205",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Nebraska","Total","Estimate",NA
"206",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Nebraska","Total.Uninsured","Estimate",NA
"207",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Nebraska","Uninsured.Share",NA,NA
"208",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Nevada","Total","Estimate",NA
"209",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Nevada","Total.Uninsured","Estimate",NA
"210",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Nevada","Uninsured.Share",NA,NA
"211",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","New.Hampshire","Total","Estimate",NA
"212",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","New.Hampshire","Total.Uninsured","Estimate",NA
"213",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","New.Hampshire","Uninsured.Share",NA,NA
"214",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","New.Jersey","Total","Estimate",NA
"215",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","New.Jersey","Total.Uninsured","Estimate",NA
"216",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","New.Jersey","Uninsured.Share",NA,NA
"217",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","New.Mexico","Total","Estimate",NA
"218",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","New.Mexico","Total.Uninsured","Estimate",NA
"219",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","New.Mexico","Uninsured.Share",NA,NA
"220",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","New.York","Total","Estimate",NA
"221",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","New.York","Total.Uninsured","Estimate",NA
"222",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","New.York","Uninsured.Share",NA,NA
"223",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","North.Carolina","Total","Estimate",NA
"224",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","North.Carolina","Total.Uninsured","Estimate",NA
"225",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","North.Carolina","Uninsured.Share",NA,NA
"226",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Ohio","Total","Estimate",NA
"227",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Ohio","Total.Uninsured","Estimate",NA
"228",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Ohio","Uninsured.Share",NA,NA
"229",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Oklahoma","Total","Estimate",NA
"230",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Oklahoma","Total.Uninsured","Estimate",NA
"231",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Oklahoma","Uninsured.Share",NA,NA
"232",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Oregon","Total","Estimate",NA
"233",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Oregon","Total.Uninsured","Estimate",NA
"234",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Oregon","Uninsured.Share",NA,NA
"235",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Pennsylvania","Total","Estimate",NA
"236",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Pennsylvania","Total.Uninsured","Estimate",NA
"237",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Pennsylvania","Uninsured.Share",NA,NA
"238",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","South.Carolina","Total","Estimate",NA
"239",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","South.Carolina","Total.Uninsured","Estimate",NA
"240",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","South.Carolina","Uninsured.Share",NA,NA
"241",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","South.Dakota","Total","Estimate",NA
"242",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","South.Dakota","Total.Uninsured","Estimate",NA
"243",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","South.Dakota","Uninsured.Share",NA,NA
"244",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Tennessee","Total","Estimate",NA
"245",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Tennessee","Total.Uninsured","Estimate",NA
"246",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Tennessee","Uninsured.Share",NA,NA
"247",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Texas","Total","Estimate",NA
"248",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Texas","Total.Uninsured","Estimate",NA
"249",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Texas","Uninsured.Share",NA,NA
"250",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Utah","Total","Estimate",NA
"251",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Utah","Total.Uninsured","Estimate",NA
"252",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Utah","Uninsured.Share",NA,NA
"253",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Virginia","Total","Estimate",NA
"254",2017,"HOUSEHOLD INCOME (IN 2017 INFLATION ADJUSTED DOLLARS)","Virginia","Total.Uninsured","Estimate",NA
