"SASUMMARY State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment"
"SASUMMARY State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment"
State or DC
GeoFips,GeoName,LineCode,Description,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
02000,Alaska,9,"  Real per capita PCE 5",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-2.0,4.0,1.0,1.3,0.3,1.4,0.6,-0.2,0.5,2.1,2.6,-4.1,5.1,5.5,2.6,(NA)
02000,Alaska,,Per capita current dollar statistics,,,,,,,,,,,,,,,,,,,,,,,,,,
02000,Alaska,10,"  Per capita personal income 6",2.2,6.9,5.0,3.5,3.7,2.8,5.3,5.1,6.7,9.3,-1.2,4.9,5.8,1.8,-2.0,5.4,2.9,-2.1,1.7,4.4,2.6,2.2,6.1,5.0,3.5,5.5
02000,Alaska,11,"  Per capita disposable personal income 7",2.5,6.7,4.8,5.5,4.7,3.4,4.7,4.6,5.9,8.9,1.1,4.9,5.1,2.1,-3.0,5.4,2.5,-1.5,2.4,5.2,2.1,2.7,5.4,3.5,5.0,5.6
02000,Alaska,12,"  Per capita personal consumption expenditures (PCE) 8",5.4,7.2,5.0,5.8,4.8,4.5,5.7,2.7,4.8,3.3,-0.1,2.8,3.7,2.4,1.1,3.1,1.7,1.5,3.0,3.9,2.6,-4.7,13.1,9.4,6.2,(NA)
02000,Alaska,,Price indexes,,,,,,,,,,,,,,,,,,,,,,,,,,
02000,Alaska,13,"  Regional price parities (RPPs) 9",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),2.2,-2.9,0.1,-0.7,-0.5,0.3,0.9,0.7,0.8,-0.3,-1.4,-1.6,3.4,-2.7,-0.3,(NA)
02000,Alaska,14,"  Implicit regional price deflator 10",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),1.9,-1.1,2.7,1.1,0.8,1.7,1.1,1.7,2.5,1.7,0.0,-0.6,7.7,3.7,3.5,(NA)
02000,Alaska,,Employment,,,,,,,,,,,,,,,,,,,,,,,,,,
02000,Alaska,15,"  Total employment (number of jobs)",-0.2,2.2,1.2,1.9,0.9,2.0,1.8,2.3,2.0,0.9,-0.2,0.3,1.5,2.0,0.4,0.0,0.1,-1.0,-0.3,-0.2,0.0,-5.3,2.8,2.4,3.0,(NA)
04000,Arizona,,Real dollar statistics,,,,,,,,,,,,,,,,,,,,,,,,,,
04000,Arizona,1,"  Real GDP (millions of chained 2017 dollars) 1",8.5,4.9,2.7,3.2,6.5,4.4,7.1,4.4,3.4,-1.4,-8.2,1.7,2.9,2.3,0.6,1.0,2.3,3.4,4.4,4.0,3.8,1.5,8.2,3.8,3.0,2.7
04000,Arizona,2,"  Real personal income (millions of constant (2017) dollars) 2",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-5.0,2.4,4.0,3.2,0.6,3.9,5.3,2.8,5.2,4.5,4.9,8.2,9.2,-5.0,1.9,(NA)
04000,Arizona,3,"  Real PCE (millions of constant (2017) dollars) 3",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-3.4,3.4,2.6,2.3,1.6,3.4,3.7,2.0,5.2,4.2,2.8,-0.7,13.4,0.9,2.2,(NA)
04000,Arizona,,Current dollar statistics (millions of dollars),,,,,,,,,,,,,,,,,,,,,,,,,,
04000,Arizona,4,"  Gross domestic product (GDP)",8.3,5.9,4.3,4.6,7.5,6.7,10.0,7.9,6.1,-0.1,-6.2,2.3,4.5,4.2,2.2,2.9,4.3,5.0,6.2,6.2,6.1,3.6,12.3,10.8,8.0,5.6
04000,Arizona,5,"  Personal income",6.0,8.5,4.8,3.8,6.1,9.0,10.1,10.7,5.7,1.8,-5.0,1.9,5.1,4.1,2.4,4.8,5.4,4.6,6.3,6.1,6.9,10.9,10.8,4.8,7.0,5.2
04000,Arizona,6,"  Disposable personal income",5.9,8.2,5.5,6.2,7.0,8.8,8.7,10.3,5.8,2.8,-2.6,1.5,3.7,4.2,1.5,4.8,4.8,4.6,6.4,6.4,6.5,11.6,9.5,3.1,9.9,5.0
04000,Arizona,7,"  Personal consumption expenditures",7.8,8.5,4.8,5.0,6.9,8.8,9.4,8.3,5.6,1.6,-3.4,2.9,3.6,3.1,3.3,4.3,3.8,3.8,6.3,5.7,4.7,1.8,15.0,11.3,7.2,(NA)
04000,Arizona,,Real per capita dollar statistics (constant 2017 dollars),,,,,,,,,,,,,,,,,,,,,,,,,,
04000,Arizona,8,"  Real per capita personal income 4",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-6.0,1.4,3.3,2.3,-0.2,2.7,4.2,1.5,4.0,3.1,3.4,6.4,7.9,-6.2,1.0,(NA)
04000,Arizona,9,"  Real per capita PCE 5",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-4.4,2.5,1.9,1.4,0.7,2.2,2.5,0.7,4.0,2.8,1.3,-2.4,12.1,-0.4,1.3,(NA)
04000,Arizona,,Per capita current dollar statistics,,,,,,,,,,,,,,,,,,,,,,,,,,
04000,Arizona,10,"  Per capita personal income 6",3.1,5.7,2.6,1.4,3.9,6.2,6.6,7.2,3.3,0.0,-6.0,0.9,4.4,3.1,1.5,3.7,4.2,3.2,5.1,4.7,5.3,9.1,9.5,3.4,5.6,3.6
04000,Arizona,11,"  Per capita disposable personal income 7",2.9,5.4,3.2,3.8,4.7,6.1,5.2,6.8,3.4,1.0,-3.6,0.5,3.0,3.3,0.7,3.6,3.6,3.3,5.2,5.0,5.0,9.7,8.2,1.7,8.5,3.5
04000,Arizona,12,"  Per capita personal consumption expenditures (PCE) 8",4.8,5.6,2.6,2.6,4.7,6.0,5.9,4.9,3.2,-0.2,-4.3,2.0,2.9,2.2,2.4,3.1,2.6,2.5,5.1,4.3,3.2,0.1,13.7,9.9,6.3,(NA)
04000,Arizona,,Price indexes,,,,,,,,,,,,,,,,,,,,,,,,,,
04000,Arizona,13,"  Regional price parities (RPPs) 9",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),0.3,-2.2,-1.5,-1.0,0.4,-0.5,-0.1,0.7,-0.7,-0.5,0.4,1.5,-2.6,3.5,1.1,(NA)
04000,Arizona,14,"  Implicit regional price deflator 10",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),0.1,-0.5,1.0,0.8,1.7,0.9,0.1,1.8,1.0,1.5,1.9,2.6,1.4,10.3,5.0,(NA)
04000,Arizona,,Employment,,,,,,,,,,,,,,,,,,,,,,,,,,
04000,Arizona,15,"  Total employment (number of jobs)",3.0,3.9,1.0,0.6,2.5,4.3,5.9,4.8,2.7,-1.8,-5.1,-1.5,1.8,1.7,2.3,2.3,2.9,2.7,2.6,3.0,1.9,-0.3,4.2,3.8,3.4,(NA)
05000,Arkansas,,Real dollar statistics,,,,,,,,,,,,,,,,,,,,,,,,,,
05000,Arkansas,1,"  Real GDP (millions of chained 2017 dollars) 1",5.4,0.8,0.0,3.2,4.5,5.5,3.6,2.2,-0.8,-0.3,-3.3,2.9,2.0,1.2,2.8,1.3,0.1,1.2,0.7,2.0,0.7,0.9,7.1,1.5,2.4,3.7
05000,Arkansas,2,"  Real personal income (millions of constant (2017) dollars) 2",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),0.7,-0.8,3.1,4.5,-1.2,4.2,3.3,1.4,2.4,3.7,-0.2,6.5,7.2,1.0,1.5,(NA)
05000,Arkansas,3,"  Real PCE (millions of constant (2017) dollars) 3",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),1.4,-0.3,1.0,0.9,0.9,2.7,3.4,2.5,2.4,4.0,-0.1,-0.4,7.6,3.8,1.9,(NA)
05000,Arkansas,,Current dollar statistics (millions of dollars),,,,,,,,,,,,,,,,,,,,,,,,,,
05000,Arkansas,4,"  Gross domestic product (GDP)",7.0,2.8,2.8,4.7,6.1,8.8,6.1,5.4,2.3,1.9,-2.4,4.0,3.9,3.0,4.8,3.0,1.0,2.0,2.4,4.3,2.6,2.7,13.1,9.4,5.9,5.7
05000,Arkansas,5,"  Personal income",4.0,5.1,5.4,2.4,6.0,6.7,5.0,6.3,6.7,4.6,-1.6,3.4,6.7,6.5,0.2,5.6,3.1,2.7,3.4,4.2,1.9,8.1,12.7,5.3,4.9,4.2
05000,Arkansas,6,"  Disposable personal income",4.2,4.8,5.6,4.1,7.2,6.9,4.1,6.0,6.0,4.5,0.4,3.5,5.8,6.7,-0.7,5.7,2.8,2.5,3.5,5.1,1.7,8.6,11.4,3.7,7.1,4.0
05000,Arkansas,7,"  Personal consumption expenditures",6.8,6.9,4.4,3.9,5.4,6.1,7.0,5.5,4.9,3.6,-0.9,4.0,4.6,2.8,2.3,4.0,3.1,3.8,3.4,4.4,2.0,1.1,13.0,8.1,5.3,(NA)
05000,Arkansas,,Real per capita dollar statistics (constant 2017 dollars),,,,,,,,,,,,,,,,,,,,,,,,,,
05000,Arkansas,8,"  Real per capita personal income 4",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),0.0,-1.7,2.5,4.2,-1.4,4.0,3.0,1.0,2.1,3.5,-0.5,6.1,6.7,0.4,0.8,(NA)
05000,Arkansas,9,"  Real per capita PCE 5",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),0.6,-1.2,0.4,0.5,0.7,2.5,3.1,2.1,2.0,3.8,-0.3,-0.8,7.1,3.2,1.2,(NA)
05000,Arkansas,,Per capita current dollar statistics,,,,,,,,,,,,,,,,,,,,,,,,,,
05000,Arkansas,10,"  Per capita personal income 6",3.0,4.1,4.9,1.8,5.3,5.7,3.8,4.8,5.7,3.6,-2.3,2.6,6.1,6.2,0.0,5.3,2.7,2.3,3.0,3.9,1.6,7.7,12.3,4.6,4.2,3.6
05000,Arkansas,11,"  Per capita disposable personal income 7",3.2,3.8,5.1,3.5,6.4,5.9,2.9,4.4,5.0,3.6,-0.4,2.7,5.2,6.4,-0.9,5.4,2.5,2.2,3.2,4.8,1.4,8.2,11.0,3.0,6.4,3.3
05000,Arkansas,12,"  Per capita personal consumption expenditures (PCE) 8",5.8,5.8,3.9,3.3,4.6,5.1,5.7,4.0,3.9,2.6,-1.7,3.1,3.9,2.4,2.1,3.8,2.8,3.5,3.0,4.2,1.8,0.8,12.4,7.5,4.6,(NA)
05000,Arkansas,,Price indexes,,,,,,,,,,,,,,,,,,,,,,,,,,
05000,Arkansas,13,"  Regional price parities (RPPs) 9",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-2.0,2.5,1.0,0.0,0.1,-0.1,-0.4,0.3,-0.7,-1.6,0.7,0.5,0.8,-2.3,-0.4,(NA)
05000,Arkansas,14,"  Implicit regional price deflator 10",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-2.2,4.3,3.5,1.9,1.4,1.3,-0.2,1.3,1.0,0.4,2.1,1.6,5.0,4.1,3.3,(NA)
05000,Arkansas,,Employment,,,,,,,,,,,,,,,,,,,,,,,,,,
05000,Arkansas,15,"  Total employment (number of jobs)",1.0,1.5,0.0,-0.2,0.2,1.6,2.2,2.0,1.0,-0.2,-2.3,-0.1,1.3,0.2,0.3,1.2,1.5,1.2,0.6,1.1,0.3,-1.5,2.8,3.6,2.5,(NA)
06000,California,,Real dollar statistics,,,,,,,,,,,,,,,,,,,,,,,,,,
06000,California,1,"  Real GDP (millions of chained 2017 dollars) 1",7.6,7.8,0.0,2.1,4.1,3.2,4.4,3.8,2.3,1.1,-3.7,2.0,1.8,2.9,3.8,3.8,4.8,3.1,4.5,4.0,4.2,-1.2,7.5,0.9,2.0,3.6
06000,California,2,"  Real personal income (millions of constant (2017) dollars) 2",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-2.2,3.6,4.0,3.8,0.1,4.5,6.3,4.2,2.0,2.0,4.6,7.2,4.4,-7.0,1.5,(NA)
06000,California,3,"  Real PCE (millions of constant (2017) dollars) 3",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-2.4,2.6,1.9,2.0,1.8,3.0,3.9,4.1,2.4,2.8,3.9,-4.5,9.7,2.6,2.6,(NA)
06000,California,,Current dollar statistics (millions of dollars),,,,,,,,,,,,,,,,,,,,,,,,,,
06000,California,4,"  Gross domestic product (GDP)",8.4,9.3,1.4,3.4,5.6,5.8,7.2,6.7,4.9,2.4,-3.4,3.1,3.9,4.7,5.4,5.3,6.2,4.0,6.0,5.8,5.8,0.3,11.3,6.9,5.7,6.0
06000,California,5,"  Personal income",7.3,10.3,3.7,1.5,4.5,6.0,5.5,7.6,4.6,1.7,-3.1,4.6,6.4,5.9,1.4,6.2,7.2,4.5,4.7,5.1,5.3,9.0,8.7,-0.2,5.4,6.5
06000,California,6,"  Disposable personal income",5.7,8.0,6.1,5.3,5.5,6.0,3.9,7.1,3.9,2.3,0.1,3.9,5.1,5.7,-0.2,5.8,6.4,4.8,4.8,4.9,5.5,9.3,6.3,-3.0,10.2,6.5
06000,California,7,"  Personal consumption expenditures",7.5,8.8,5.0,4.3,5.5,6.8,7.0,6.4,5.9,3.1,-3.2,3.5,4.3,4.0,3.2,4.7,4.8,4.4,5.2,5.9,4.6,-2.7,14.2,10.0,6.5,(NA)
06000,California,,Real per capita dollar statistics (constant 2017 dollars),,,,,,,,,,,,,,,,,,,,,,,,,,
06000,California,8,"  Real per capita personal income 4",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-3.2,2.6,3.1,2.9,-0.7,3.6,5.4,3.5,1.5,1.7,4.6,7.3,5.3,-6.8,1.7,(NA)
06000,California,9,"  Real per capita PCE 5",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-3.4,1.6,1.1,1.1,1.0,2.1,3.0,3.4,1.9,2.5,3.9,-4.4,10.7,2.9,2.8,(NA)
06000,California,,Per capita current dollar statistics,,,,,,,,,,,,,,,,,,,,,,,,,,
06000,California,10,"  Per capita personal income 6",5.6,8.7,2.2,0.4,3.4,5.1,4.8,7.0,3.9,0.7,-4.0,3.5,5.5,5.0,0.6,5.3,6.3,3.8,4.2,4.8,5.3,9.1,9.7,-0.2,5.3,5.9
06000,California,11,"  Per capita disposable personal income 7",4.1,6.4,4.6,4.1,4.4,5.1,3.2,6.5,3.2,1.3,-0.8,2.9,4.2,4.8,-1.1,4.9,5.5,4.1,4.3,4.6,5.5,9.3,7.3,-3.0,10.1,5.8
06000,California,12,"  Per capita personal consumption expenditures (PCE) 8",5.8,7.2,3.5,3.1,4.3,5.8,6.3,5.8,5.3,2.1,-4.1,2.5,3.4,3.2,2.3,3.8,3.9,3.7,4.6,5.6,4.5,-2.6,15.2,10.3,6.7,(NA)
06000,California,,Price indexes,,,,,,,,,,,,,,,,,,,,,,,,,,
06000,California,13,"  Regional price parities (RPPs) 9",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-0.5,-0.9,-0.2,0.2,0.0,0.2,0.7,-0.7,1.0,0.9,-0.8,0.7,-0.1,0.6,0.0,(NA)
06000,California,14,"  Implicit regional price deflator 10",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-0.8,0.9,2.3,2.0,1.3,1.6,0.9,0.3,2.7,3.0,0.7,1.8,4.1,7.2,3.8,(NA)
06000,California,,Employment,,,,,,,,,,,,,,,,,,,,,,,,,,
06000,California,15,"  Total employment (number of jobs)",2.3,2.0,0.6,0.1,0.6,1.6,1.7,1.9,1.9,-1.1,-4.0,-1.0,1.7,3.4,3.2,3.2,3.1,2.2,1.6,2.2,0.6,-4.4,3.4,4.2,1.9,(NA)
08000,Colorado,,Real dollar statistics,,,,,,,,,,,,,,,,,,,,,,,,,,
